詩歌ID,作者,標題,人物,提及次數
李顯_14. 景龍四年正月五日移仗蓬萊宮御大明殿會吐蕃騎馬之戲因重爲柏梁體聯句,李顯,14. 景龍四年正月五日移仗蓬萊宮御大明殿會吐蕃騎馬之戲因重爲柏梁體聯句,鄭愔,2
李顯_14. 景龍四年正月五日移仗蓬萊宮御大明殿會吐蕃騎馬之戲因重爲柏梁體聯句,李顯,14. 景龍四年正月五日移仗蓬萊宮御大明殿會吐蕃騎馬之戲因重爲柏梁體聯句,李顯,2
李顯_14. 景龍四年正月五日移仗蓬萊宮御大明殿會吐蕃騎馬之戲因重爲柏梁體聯句,李顯,14. 景龍四年正月五日移仗蓬萊宮御大明殿會吐蕃騎馬之戲因重爲柏梁體聯句,上官昭容,3
李顯_14. 景龍四年正月五日移仗蓬萊宮御大明殿會吐蕃騎馬之戲因重爲柏梁體聯句,李顯,14. 景龍四年正月五日移仗蓬萊宮御大明殿會吐蕃騎馬之戲因重爲柏梁體聯句,武平一,4
李顯_14. 景龍四年正月五日移仗蓬萊宮御大明殿會吐蕃騎馬之戲因重爲柏梁體聯句,李顯,14. 景龍四年正月五日移仗蓬萊宮御大明殿會吐蕃騎馬之戲因重爲柏梁體聯句,崔湜,3
李顯_14. 景龍四年正月五日移仗蓬萊宮御大明殿會吐蕃騎馬之戲因重爲柏梁體聯句,李顯,14. 景龍四年正月五日移仗蓬萊宮御大明殿會吐蕃騎馬之戲因重爲柏梁體聯句,閻朝隱,1
李隆基_5. 送忠州太守康昭遠等,李隆基,5. 送忠州太守康昭遠等,太守,256
李隆基_16. 惟此溫泉是稱愈疾豈予獨受其福思與兆人共之乗暇巡遊乃言其志,李隆基,16. 惟此溫泉是稱愈疾豈予獨受其福思與兆人共之乗暇巡遊乃言其志,棲一,6
李隆基_21. 送賀知章歸四明,李隆基,21. 送賀知章歸四明,賀知章,7
李隆基_24. 同劉晃喜雨,李隆基,24. 同劉晃喜雨,劉晃,2
李隆基_28. 答司馬承禎上劍鏡,李隆基,28. 答司馬承禎上劍鏡,司馬承禎,4
李隆基_36. 集賢書院成送張說上集賢學士賜宴得珍字,李隆基,36. 集賢書院成送張說上集賢學士賜宴得珍字,張說,40
李隆基_37. 王屋山送道士司馬承禎還天台,李隆基,37. 王屋山送道士司馬承禎還天台,司馬承禎,4
李隆基_42. 南出雀鼠谷答張說,李隆基,42. 南出雀鼠谷答張說,張說,40
李隆基_43. 賜崔日知往潞州,李隆基,43. 賜崔日知往潞州,崔日知,2
李隆基_52. 送張說巡邊,李隆基,52. 送張說巡邊,張說,40
李隆基_53. 餞王晙巡邊,李隆基,53. 餞王晙巡邊,王晙,3
李隆基_57. 續薛令之題壁,李隆基,57. 續薛令之題壁,薛令之,1
李亨_2. 賜梨李泌與諸王聯句,李亨,2. 賜梨李泌與諸王聯句,李泌,3
李亨_2. 賜梨李泌與諸王聯句,李亨,2. 賜梨李泌與諸王聯句,李亨,1
李適_7. 送徐州張建封還鎮,李適,7. 送徐州張建封還鎮,張建封,3
李昂1_21. 上巳日賜裴度,李昂1,21. 上巳日賜裴度,裴度,13
李昂1_23. 夏日聯句,李昂1,23. 夏日聯句,柳公權,3
李昂1_23. 夏日聯句,李昂1,23. 夏日聯句,李昂1,1
李忱_25. 吊白居易,李忱,25. 吊白居易,白居易,16
李忱_29. 瀑布聯句,李忱,29. 瀑布聯句,李忱,1
武則天_46. 制袍字賜狄仁傑,武則天,46. 制袍字賜狄仁傑,狄仁傑,1
楊玉環_59. 贈張雲容舞,楊玉環,59. 贈張雲容舞,張雲容,1
楊玉環_59. 贈張雲容舞,楊玉環,59. 贈張雲容舞,雲容,18
宋若華_2. 嘲陸暢,宋若華,2. 嘲陸暢,陸暢,5
李璟_2. 保大五年元日大雪同太弟景遂汪王景逷齊王景逵進士李建勳中書徐鉉勤政殿學士張義方登樓賦,李璟,2. 保大五年元日大雪同太弟景遂汪王景逷齊王景逵進士李建勳中書徐鉉勤政殿學士張義方登樓賦,徐鉉,5
李璟_2. 保大五年元日大雪同太弟景遂汪王景逷齊王景逵進士李建勳中書徐鉉勤政殿學士張義方登樓賦,李璟,2. 保大五年元日大雪同太弟景遂汪王景逷齊王景逵進士李建勳中書徐鉉勤政殿學士張義方登樓賦,李建,2
李璟_2. 保大五年元日大雪同太弟景遂汪王景逷齊王景逵進士李建勳中書徐鉉勤政殿學士張義方登樓賦,李璟,2. 保大五年元日大雪同太弟景遂汪王景逷齊王景逵進士李建勳中書徐鉉勤政殿學士張義方登樓賦,王景,1
李璟_2. 保大五年元日大雪同太弟景遂汪王景逷齊王景逵進士李建勳中書徐鉉勤政殿學士張義方登樓賦,李璟,2. 保大五年元日大雪同太弟景遂汪王景逷齊王景逵進士李建勳中書徐鉉勤政殿學士張義方登樓賦,李建勳,1
李璟_2. 保大五年元日大雪同太弟景遂汪王景逷齊王景逵進士李建勳中書徐鉉勤政殿學士張義方登樓賦,李璟,2. 保大五年元日大雪同太弟景遂汪王景逷齊王景逵進士李建勳中書徐鉉勤政殿學士張義方登樓賦,張義方,2
李從善_20. 薔薇詩一首十八韻呈東海侍郎徐鉉,李從善,20. 薔薇詩一首十八韻呈東海侍郎徐鉉,徐鉉,5
李衍_25. 過白衛嶺和韓昭,李衍,25. 過白衛嶺和韓昭,韓昭,4
徐氏_6. 題彭州陽平化,徐氏,6. 題彭州陽平化,孫氏,4
貫休_8. 樂府雜曲：鼓吹曲辭：戰城南二首,貫休,8. 樂府雜曲：鼓吹曲辭：戰城南二首,少年,611
李端_15. 樂府雜曲：鼓吹曲辭：巫山高,李端,15. 樂府雜曲：鼓吹曲辭：巫山高,虛中,17
陳子昂_12. 橫吹曲辭：出塞,陳子昂,12. 橫吹曲辭：出塞,書生,75
杜甫_19. 橫吹曲辭：後出塞五首,杜甫,19. 橫吹曲辭：後出塞五首,少年,611
劉濟_25. 橫吹曲辭：出塞曲,劉濟,25. 橫吹曲辭：出塞曲,少年,611
馬戴_16. 相和歌辭：關山曲,馬戴,16. 相和歌辭：關山曲,書生,75
李白_23. 相和歌辭：對酒二首,李白,23. 相和歌辭：對酒二首,少年,611
李白_31. 相和歌辭：日出行,李白,31. 相和歌辭：日出行,少年,611
王昌齡_61. 相和歌辭：長歌行,王昌齡,61. 相和歌辭：長歌行,李得,2
陸龜蒙_68. 相和歌辭：短歌行,陸龜蒙,68. 相和歌辭：短歌行,少年,611
厲玄_108. 相和歌辭：從軍行,厲玄,108. 相和歌辭：從軍行,李都,11
鮑溶_121. 相和歌辭：苦哉遠征人,鮑溶,121. 相和歌辭：苦哉遠征人,少年,611
戎昱_122. 相和歌辭：苦哉行五首,戎昱,122. 相和歌辭：苦哉行五首,少年,611
耿湋_22. 相和歌辭：隴西行,耿湋,22. 相和歌辭：隴西行,李都,11
李賀_34. 相和歌辭：雁門太守行,李賀,34. 相和歌辭：雁門太守行,太守,256
張祜_35. 相和歌辭：雁門太守行,張祜,35. 相和歌辭：雁門太守行,太守,256
莊南傑_36. 相和歌辭：雁門太守行,莊南傑,36. 相和歌辭：雁門太守行,太守,256
元稹_51. 相和歌辭：決絕詞三首,元稹,51. 相和歌辭：決絕詞三首,織女,55
於濆_106. 相和歌辭：宮怨,於濆,106. 相和歌辭：宮怨,少年,611
李白_8. 相和歌辭：子夜四時歌四首：夏歌,李白,8. 相和歌辭：子夜四時歌四首：夏歌,西施,70
崔國輔_49. 相和歌辭：襄陽曲二首,崔國輔,49. 相和歌辭：襄陽曲二首,少年,611
王昌齡_65. 相和歌辭：採蓮曲三首,王昌齡,65. 相和歌辭：採蓮曲三首,清江,88
楊巨源_23. 琴曲歌辭：別鶴,楊巨源,23. 琴曲歌辭：別鶴,皎然,71
顧況_54. 琴曲歌辭：龍宮操,顧況,54. 琴曲歌辭：龍宮操,江妃,10
元稹_2. 雜曲歌辭：出門行,元稹,2. 雜曲歌辭：出門行,龍女,6
李白_6. 雜曲歌辭：君子有所思行,李白,6. 雜曲歌辭：君子有所思行,無作,13
孟雲卿_11. 雜曲歌辭：悲哉行,孟雲卿,11. 雜曲歌辭：悲哉行,少年,611
虞世南_39. 雜曲歌辭：結客少年場行,虞世南,39. 雜曲歌辭：結客少年場行,少年,611
虞羽客_40. 雜曲歌辭：結客少年場行,虞羽客,40. 雜曲歌辭：結客少年場行,少年,611
盧照鄰_41. 雜曲歌辭：結客少年場行,盧照鄰,41. 雜曲歌辭：結客少年場行,少年,611
李白_42. 雜曲歌辭：結客少年場行,李白,42. 雜曲歌辭：結客少年場行,少年,611
沈彬_43. 雜曲歌辭：結客少年場行,沈彬,43. 雜曲歌辭：結客少年場行,少年,611
李百藥_44. 雜曲歌辭：少年子,李百藥,44. 雜曲歌辭：少年子,少年,611
李白_45. 雜曲歌辭：少年子,李白,45. 雜曲歌辭：少年子,少年,611
李賀_46. 雜曲歌辭：少年樂,李賀,46. 雜曲歌辭：少年樂,少年,611
張祜_47. 雜曲歌辭：少年樂,張祜,47. 雜曲歌辭：少年樂,少年,611
李白_48. 雜曲歌辭：少年行三首,李白,48. 雜曲歌辭：少年行三首,少年,611
王維_49. 雜曲歌辭：少年行四首,王維,49. 雜曲歌辭：少年行四首,少年,611
王昌齡_50. 雜曲歌辭：少年行二首,王昌齡,50. 雜曲歌辭：少年行二首,少年,611
張籍_51. 雜曲歌辭：少年行,張籍,51. 雜曲歌辭：少年行,少年,611
李嶷_52. 雜曲歌辭：少年行三首,李嶷,52. 雜曲歌辭：少年行三首,少年,611
劉長卿_53. 雜曲歌辭：少年行,劉長卿,53. 雜曲歌辭：少年行,少年,611
令狐楚_54. 雜曲歌辭：少年行四首,令狐楚,54. 雜曲歌辭：少年行四首,少年,611
杜牧_55. 雜曲歌辭：少年行二首,杜牧,55. 雜曲歌辭：少年行二首,少年,611
杜甫_56. 雜曲歌辭：少年行三首,杜甫,56. 雜曲歌辭：少年行三首,少年,611
張祜_57. 雜曲歌辭：少年行,張祜,57. 雜曲歌辭：少年行,少年,611
韓翃_58. 雜曲歌辭：少年行,韓翃,58. 雜曲歌辭：少年行,少年,611
施肩吾_59. 雜曲歌辭：少年行,施肩吾,59. 雜曲歌辭：少年行,少年,611
貫休_60. 雜曲歌辭：少年行三首,貫休,60. 雜曲歌辭：少年行三首,少年,611
韋莊_61. 雜曲歌辭：少年行,韋莊,61. 雜曲歌辭：少年行,少年,611
李益_62. 雜曲歌辭：漢宮少年行,李益,62. 雜曲歌辭：漢宮少年行,少年,611
崔國輔_63. 雜曲歌辭：長樂少年行,崔國輔,63. 雜曲歌辭：長樂少年行,少年,611
李廓_64. 雜曲歌辭：長安少年行十首,李廓,64. 雜曲歌辭：長安少年行十首,少年,611
皎然_65. 雜曲歌辭：長安少年行,皎然,65. 雜曲歌辭：長安少年行,少年,611
高適_66. 雜曲歌辭：邯鄲少年行,高適,66. 雜曲歌辭：邯鄲少年行,少年,611
鄭錫_67. 雜曲歌辭：邯鄲少年行,鄭錫,67. 雜曲歌辭：邯鄲少年行,少年,611
崔顥_4. 雜曲歌辭：遊俠篇,崔顥,4. 雜曲歌辭：遊俠篇,少年,611
顧況_46. 雜曲歌辭：行路難三首,顧況,46. 雜曲歌辭：行路難三首,少年,611
施肩吾_85. 雜曲歌辭：春遊樂,施肩吾,85. 雜曲歌辭：春遊樂,少年,611
李涉_31. 雜曲歌辭：鷓鴣詞,李涉,31. 雜曲歌辭：鷓鴣詞,任生,12
白居易_6. 雜曲歌辭：楊柳枝,白居易,6. 雜曲歌辭：楊柳枝,知玄,5
劉禹錫_9. 雜曲歌辭：楊柳枝,劉禹錫,9. 雜曲歌辭：楊柳枝,李白,55
薛能_19. 雜曲歌辭：楊柳枝,薛能,19. 雜曲歌辭：楊柳枝,李清,3
劉禹錫_23. 雜曲歌辭：浪淘沙,劉禹錫,23. 雜曲歌辭：浪淘沙,織女,55
滕潛_32. 雜曲歌辭：金縷衣,滕潛,32. 雜曲歌辭：金縷衣,少年,611
元結_43. 雜曲歌辭：欸乃曲,元結,43. 雜曲歌辭：欸乃曲,王初,4
杜淹_21. 寄贈齊公,杜淹,21. 寄贈齊公,若水,8
魏征_35. 奉和正日臨朝應詔,魏征,35. 奉和正日臨朝應詔,庭實,3
楊師道_13. 奉和聖制春日望海,楊師道,13. 奉和聖制春日望海,少年,611
許敬宗_2. 奉和行經破薛舉戰地應制,許敬宗,2. 奉和行經破薛舉戰地應制,景雲,13
許敬宗_3. 奉和入潼關,許敬宗,3. 奉和入潼關,陸海,8
許敬宗_5. 奉和元日應制,許敬宗,5. 奉和元日應制,衛象,4
許敬宗_23. 奉和聖制送來濟應制,許敬宗,23. 奉和聖制送來濟應制,來濟,3
虞世南_4. 結客少年場行,虞世南,4. 結客少年場行,少年,611
虞世南_30. 奉和出潁至淮應令,虞世南,30. 奉和出潁至淮應令,利涉,13
王績_7. 薛記室收過莊見尋率題古意以贈,王績,7. 薛記室收過莊見尋率題古意以贈,少年,611
王績_7. 薛記室收過莊見尋率題古意以贈,王績,7. 薛記室收過莊見尋率題古意以贈,何扶,3
王績_18. 遊仙四首,王績,18. 遊仙四首,王烈,2
王績_22. 建德破後入長安詠秋蓬示辛學士,王績,22. 建德破後入長安詠秋蓬示辛學士,辛學士,1
王績_42. 句,王績,42. 句,無作,13
孔紹安_12. 結客少年場行,孔紹安,12. 結客少年場行,少年,611
陳子良_9. 贊德上越國公楊素,陳子良,9. 贊德上越國公楊素,王氏,17
蕭翼_25. 答辨才探得招字,蕭翼,25. 答辨才探得招字,辨才,1
盧照鄰_15. 結客少年場行,盧照鄰,15. 結客少年場行,少年,611
盧照鄰_17. 贈李榮道士,盧照鄰,17. 贈李榮道士,清江,88
盧照鄰_17. 贈李榮道士,盧照鄰,17. 贈李榮道士,李榮,6
盧照鄰著_13. 石鏡寺,盧照鄰著,13. 石鏡寺,寶月,13
盧照鄰著_19. 還京贈別,盧照鄰著,19. 還京贈別,清江,88
李百藥著_22. 文德皇后挽歌,李百藥著,22. 文德皇后挽歌,寒山,122
劉禕之著_3. 酬鄭沁州,劉禕之著,3. 酬鄭沁州,寒山,122
裴守真著_20. 奉和太子納妃太平公主出降三首,裴守真著,20. 奉和太子納妃太平公主出降三首,寶月,13
裴守真著_20. 奉和太子納妃太平公主出降三首,裴守真著,20. 奉和太子納妃太平公主出降三首,穠華,13
賀遂亮著_28. 贈韓思彥,賀遂亮著,28. 贈韓思彥,韓思彥,1
韓思彥著_29. 酬賀遂亮,韓思彥著,29. 酬賀遂亮,賀遂亮,1
陳元光著_4. 太母魏氏半徑題石,陳元光著,4. 太母魏氏半徑題石,魏氏,3
許天正著_5. 和陳元光平潮寇詩,許天正著,5. 和陳元光平潮寇詩,陳元光,1
趙謙光著_7. 答戶部員外賀遂涉戲贈,趙謙光著,7. 答戶部員外賀遂涉戲贈,賀遂涉,2
崔日用著_13. 奉和聖制送張說巡邊,崔日用著,13. 奉和聖制送張說巡邊,張說,40
張九齡著_20. 與生公遊石窟山,張九齡著,20. 與生公遊石窟山,泠然,22
張九齡著_27. 驪山下逍遙公舊居游集,張九齡著,27. 驪山下逍遙公舊居游集,清尚,3
張九齡著_49. 奉和聖制瑞雪篇,張九齡著,49. 奉和聖制瑞雪篇,庭實,3
張九齡著_11. 奉和吏部崔尚書雨後大明朝堂望南山,張九齡著,11. 奉和吏部崔尚書雨後大明朝堂望南山,崔尚,9
張九齡著_12. 和崔尚書喜雨,張九齡著,12. 和崔尚書喜雨,崔尚,9
楊炯著_5. 從軍行,楊炯著,5. 從軍行,書生,75
楊炯著_7. 驄馬,楊炯著,7. 驄馬,少年,611
楊炯著_7. 驄馬,楊炯著,7. 驄馬,若水,8
楊炯著_27. 和酬虢州李司法,楊炯著,27. 和酬虢州李司法,寒山,122
楊炯著_31. 和輔先入昊天觀星瞻,楊炯著,31. 和輔先入昊天觀星瞻,若水,8
宋之問著_12. 入崖口五渡寄李適,宋之問著,12. 入崖口五渡寄李適,李適,4
宋之問著_27. 傷王七秘書監寄呈揚州陸長史通簡府僚廣陵以廣好事,宋之問著,27. 傷王七秘書監寄呈揚州陸長史通簡府僚廣陵以廣好事,王氏,17
宋之問著_38. 明河篇,宋之問著,38. 明河篇,織女,55
宋之問著_39. 龍門應制,宋之問著,39. 龍門應制,周萬,2
宋之問著_45. 冬宵引贈司馬承禎,宋之問著,45. 冬宵引贈司馬承禎,司馬承禎,4
宋之問著_48. 有所思,宋之問著,48. 有所思,少年,611
宋之問著_29. 使往天平軍馬約與陳子昂新鄉為期，及還而不相遇,宋之問著,29. 使往天平軍馬約與陳子昂新鄉為期，及還而不相遇,陳子昂,4
宋之問著_32. 送田道士使蜀投龍,宋之問著,32. 送田道士使蜀投龍,泠然,22
宋之問著_38. 送杜審言,宋之問著,38. 送杜審言,杜審言,3
宋之問著_49. 途中寒食題黃梅臨江驛寄崔融,宋之問著,49. 途中寒食題黃梅臨江驛寄崔融,崔融,5
宋之問著_74. 餞中書侍郎來濟,宋之問著,74. 餞中書侍郎來濟,來濟,3
宋之問著_7. 奉和幸韋嗣立山莊侍宴應制,宋之問著,7. 奉和幸韋嗣立山莊侍宴應制,韋嗣立,19
宋之問著_48. 郡宅中齋,宋之問著,48. 郡宅中齋,雲表,13
崔湜著_23. 奉和幸韋嗣立山莊侍宴應制,崔湜著,23. 奉和幸韋嗣立山莊侍宴應制,韋嗣立,19
崔湜著_32. 奉和幸韋嗣立山莊應制,崔湜著,32. 奉和幸韋嗣立山莊應制,韋嗣立,19
王勃著_60. 九日懷封元寂,王勃著,60. 九日懷封元寂,元寂,1
王勃著_62. 河陽橋代竇郎中佳人答楊中舍,王勃著,62. 河陽橋代竇郎中佳人答楊中舍,織女,55
李嶠著_7. 安輯嶺表事平罷歸,李嶠著,7. 安輯嶺表事平罷歸,清江,88
李嶠著_13. 汾陰行,李嶠著,13. 汾陰行,太守,256
李嶠著_24. 送李邕,李嶠著,24. 送李邕,李邕,3
李嶠著_41. 武三思挽歌,李嶠著,41. 武三思挽歌,武三思,3
李嶠著_18. 江,李嶠著,18. 江,卿雲,13
李嶠著_15. 帷,李嶠著,15. 帷,太守,256
李嶠著_38. 桃,李嶠著,38. 桃,穠華,13
李嶠著_46. 鵲,李嶠著,46. 鵲,織女,55
李嶠著_48. 鳧,李嶠著,48. 鳧,王喬,14
李嶠著_11. 奉和幸韋嗣立山莊侍宴應制,李嶠著,11. 奉和幸韋嗣立山莊侍宴應制,韋嗣立,19
李嶠著_21. 田假限疾不獲還莊載想田園兼思親友率成短韻用寫長懷贈杜幽素,李嶠著,21. 田假限疾不獲還莊載想田園兼思親友率成短韻用寫長懷贈杜幽素,無悶,12
李嶠著_22. 劉侍讀見和山邸十篇重申此贈,李嶠著,22. 劉侍讀見和山邸十篇重申此贈,劉侍讀,1
李嶠著_26. 奉和聖制幸韋嗣立山莊應制,李嶠著,26. 奉和聖制幸韋嗣立山莊應制,韋嗣立,19
杜審言著_10. 和韋承慶過義陽公主山池五首,杜審言著,10. 和韋承慶過義陽公主山池五首,韋承慶,1
杜審言著_21. 送崔融,杜審言著,21. 送崔融,崔融,5
杜審言著_34. 贈崔融二十韻,杜審言著,34. 贈崔融二十韻,崔融,5
杜審言著_35. 贈蘇味道,杜審言著,35. 贈蘇味道,蘇味道,1
杜審言著_37. 贈蘇綰書記,杜審言著,37. 贈蘇綰書記,蘇綰,1
姚崇著_7. 句,姚崇著,7. 句,張昌宗,1
宋璟著_8. 奉和禦制璟與張說源幹曜同日上官命宴都堂賜詩應制,宋璟著,8. 奉和禦制璟與張說源幹曜同日上官命宴都堂賜詩應制,張說,40
宋璟著_8. 奉和禦制璟與張說源幹曜同日上官命宴都堂賜詩應制,宋璟著,8. 奉和禦制璟與張說源幹曜同日上官命宴都堂賜詩應制,源幹曜,2
宋璟著_10. 奉和聖制送張說巡邊,宋璟著,10. 奉和聖制送張說巡邊,張說,40
宋璟著_11. 奉和聖制答張說扈從南出雀鼠谷,宋璟著,11. 奉和聖制答張說扈從南出雀鼠谷,張說,40
蘇味道著_14. 和武三思於天中寺尋複禮上人之作,蘇味道著,14. 和武三思於天中寺尋複禮上人之作,武三思,3
王無競著_2. 和宋之問下山歌,王無競著,2. 和宋之問下山歌,宋之問,6
賈曾著_7. 和宋之問下山歌,賈曾著,7. 和宋之問下山歌,宋之問,6
李夔著_12. 使至汴州喜逢宋之問,李夔著,12. 使至汴州喜逢宋之問,宋之問,6
崔融1著_2. 擬古,崔融1著,2. 擬古,張固,3
崔融1著_7. 和宋之問寒食題黃梅臨江驛,崔融1著,7. 和宋之問寒食題黃梅臨江驛,宋之問,6
崔融1著_8. 留別杜審言並呈洛中舊游,崔融1著,8. 留別杜審言並呈洛中舊游,杜審言,3
崔融1著_11. 則天皇後挽歌二首,崔融1著,11. 則天皇後挽歌二首,景雲,13
韋元旦著_23. 夜宴安樂公主宅,韋元旦著,23. 夜宴安樂公主宅,織女,55
劉憲著_5. 閏九月九日幸總持寺登浮圖應制,劉憲著,5. 閏九月九日幸總持寺登浮圖應制,雲表,13
劉憲著_16. 奉和幸三會寺應制,劉憲著,16. 奉和幸三會寺應制,林披,3
劉憲著_18. 奉和幸禮部尚書竇希玠宅應制,劉憲著,18. 奉和幸禮部尚書竇希玠宅應制,竇希玠,4
劉憲著_20. 奉和幸韋嗣立山莊侍宴應制,劉憲著,20. 奉和幸韋嗣立山莊侍宴應制,韋嗣立,19
劉憲著_25. 奉和聖制幸韋嗣立山莊,劉憲著,25. 奉和聖制幸韋嗣立山莊,韋嗣立,19
高瑾著_17. 晦日宴高氏林亭,高瑾著,17. 晦日宴高氏林亭,李華,1
蘇頲著_14. 長相思,蘇頲著,14. 長相思,李白,55
蘇頲著_29. 武擔山寺,蘇頲著,29. 武擔山寺,龍女,6
蘇頲著_29. 武擔山寺,蘇頲著,29. 武擔山寺,法輪,3
蘇頲著_34. 春晚送瑕丘田少府還任，因寄洛中鏡上人,蘇頲著,34. 春晚送瑕丘田少府還任，因寄洛中鏡上人,少年,611
蘇頲著_2. 奉和聖制幸禮部尚書竇希玠宅應制,蘇頲著,2. 奉和聖制幸禮部尚書竇希玠宅應制,竇希玠,4
蘇頲著_3. 奉和幸韋嗣立山莊應制,蘇頲著,3. 奉和幸韋嗣立山莊應制,韋嗣立,19
蘇頲著_4. 奉和聖制送張說上集賢學士賜宴得茲字,蘇頲著,4. 奉和聖制送張說上集賢學士賜宴得茲字,張說,40
蘇頲著_6. 奉和聖制經河上公廟應制,蘇頲著,6. 奉和聖制經河上公廟應制,王傳,2
蘇頲著_7. 奉和聖制答張說出雀鼠谷,蘇頲著,7. 奉和聖制答張說出雀鼠谷,張說,40
蘇頲著_28. 奉和崔尚書贈大理陸卿鴻臚劉卿見示之作,蘇頲著,28. 奉和崔尚書贈大理陸卿鴻臚劉卿見示之作,崔尚,9
蘇頲著_29. 敬和崔尚書大明朝堂雨後望終南山見示之作,蘇頲著,29. 敬和崔尚書大明朝堂雨後望終南山見示之作,崔尚,9
蘇頲著_41. 奉和聖制幸韋嗣立莊應制,蘇頲著,41. 奉和聖制幸韋嗣立莊應制,韋嗣立,19
徐晶著_6. 同蔡孚五亭詠,徐晶著,6. 同蔡孚五亭詠,蔡孚,2
徐彥伯著_3. 擬古三首,徐彥伯著,3. 擬古三首,無作,13
徐彥伯著_5. 和李適答宋十一入崖口五渡見贈,徐彥伯著,5. 和李適答宋十一入崖口五渡見贈,李適,4
徐彥伯著_8. 題東山子李適碑陰二首,徐彥伯著,8. 題東山子李適碑陰二首,李適,4
徐彥伯著_19. 餞唐州高使君赴任,徐彥伯著,19. 餞唐州高使君赴任,太守,256
徐彥伯著_22. 侍宴韋嗣立山莊應制,徐彥伯著,22. 侍宴韋嗣立山莊應制,韋嗣立,19
徐彥伯著_23. 送特進李嶠入都袝廟,徐彥伯著,23. 送特進李嶠入都袝廟,李嶠,4
駱賓王著_11. 敘寄員半千,駱賓王著,11. 敘寄員半千,員半千,1
駱賓王著_17. 疇昔篇,駱賓王著,17. 疇昔篇,少年,611
駱賓王著_18. 豔情代郭氏答盧照鄰,駱賓王著,18. 豔情代郭氏答盧照鄰,織女,55
駱賓王著_18. 豔情代郭氏答盧照鄰,駱賓王著,18. 豔情代郭氏答盧照鄰,盧照鄰,1
駱賓王著_18. 豔情代郭氏答盧照鄰,駱賓王著,18. 豔情代郭氏答盧照鄰,李應,2
駱賓王著_19. 代女道士王靈妃贈道士李榮,駱賓王著,19. 代女道士王靈妃贈道士李榮,慕幽,2
駱賓王著_19. 代女道士王靈妃贈道士李榮,駱賓王著,19. 代女道士王靈妃贈道士李榮,李榮,6
駱賓王著_5. 途中有懷,駱賓王著,5. 途中有懷,懷楚,3
駱賓王著_20. 別李嶠得勝字,駱賓王著,20. 別李嶠得勝字,李嶠,4
駱賓王著_25. 初秋于竇六郎宅宴,駱賓王著,25. 初秋于竇六郎宅宴,若水,8
駱賓王著_37. 詠水,駱賓王著,37. 詠水,澹交,2
駱賓王著_24. 早發淮口望盱眙,駱賓王著,24. 早發淮口望盱眙,王表,2
駱賓王著_33. 詠懷,駱賓王著,33. 詠懷,少年,611
張易之著_10. 奉和聖制夏日游石淙山,張易之著,10. 奉和聖制夏日游石淙山,泠然,22
張昌宗著_15. 少年行,張昌宗著,15. 少年行,少年,611
